날짜,시간(시작-종료),활동명,카테고리,메모
2026-01-01,00:00-07:34,수면,수면,새해 첫날 알람 없이 기상. 숙면도 92%.
2026-01-01,07:34-08:07,기상 후 독서,취미,33분간 독서. 몰입도 높음.
2026-01-01,08:07-08:52,아침 식사,식사,토스트와 종합비타민 섭취.
2026-01-01,08:52-09:14,외출 준비,기타,도서관 갈 채비 및 춘천 날씨 확인.
2026-01-01,09:14-12:47,전공 공부,일과,강원대 도서관에서 회로이론 선행 학습.
2026-01-01,12:47-13:53,점심 식사,식사,학교 근처 순대국밥에서 혼밥.
2026-01-01,13:53-17:21,개인 프로젝트,일과,아두이노 설계 실습 진행.
2026-01-01,17:21-18:44,헬스(상체),운동,1시간 23분간 고강도 웨이트 트레이닝.
2026-01-01,18:44-19:56,저녁 식사,식사,닭가슴살 도시락과 오메가3 및 마그네슘 섭취.
2026-01-01,19:56-22:18,유튜브 시청,취미,ENTP 성향의 잡학 영상 시청으로 시간 보냄.
2026-01-01,22:18-22:54,취침 전 독서,취미,잠들기 전 36분간 독서 완료.
2026-01-01,22:54-24:00,수면 진입,수면,목표 시각 이전에 취침 성공.
2026-01-02,00:00-08:12,수면,수면,중간에 한 번 깼으나 규칙적으로 기상함.
2026-01-02,08:12-08:43,기상 후 독서,취미,어제 읽던 책 이어서 읽음.
2026-01-02,08:43-09:27,아침 식사,식사,간단한 시리얼과 종합비타민 섭취.
2026-01-02,09:27-13:14,도서관 학습,일과,춘천 한파로 인해 도서관 내부가 조금 추움.
2026-01-02,13:14-14:06,점심 식사,식사,편의점 샐러드 도시락으로 가볍게 식사.
2026-01-02,14:06-16:58,카페 카공,일과,환경 변화를 위해 도서관에서 분위기 좋은 카페로 이동.
2026-01-02,16:58-17:34,홈트레이닝,운동,[동적 루틴] 한파로 실외운동 대신 AI가 실내 스트레칭 제안.
2026-01-02,17:34-18:47,저녁 식사,식사,제육덮밥과 오메가3 섭취.
2026-01-02,18:47-23:12,친구와 통화,기타,ENTP의 사회적 욕구 발현으로 고향 친구와 장시간 통화.
